Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.993,-125.242
Cape Dorset Airport,64.230,-76.526
Thompson Airport,55.801,-97.864
CFB Trenton,44.118,-77.528
Timmins/Victor M. Power,48.569,-81.376
Billy Bishop Toronto City Centre Airport,43.627,-79.396
Tuktoyaktuk Airport,69.433,-133.026
Montreal / Pierre Elliott Trudeau International Airport,45.470,-73.740
Repulse Bay Airport,66.521,-86.224
Hall Beach Airport,68.776,-81.242
Rouyn Noranda Airport,48.206,-78.835
La Ronge Airport,55.151,-105.262
Vermilion Airport,53.355,-110.823
Qikiqtarjuaq Airport,67.545,-64.031
Val-d'Or Airport,48.053,-77.782
Kuujjuaq Airport,58.096,-68.426
Norman Wells Airport,65.281,-126.797
Vancouver International Airport,49.193,-123.183
Buffalo Narrows Airport,55.841,-108.417
Wiarton Airport,44.745,-81.107
Petawawa Airport,45.952,-77.319
Winnipeg / James Armstrong Richardson International Airport,49.909,-97.239
Wabush Airport,52.921,-66.864
Williams Lake Airport,52.183,-122.054
Wrigley Airport,63.209,-123.436
Cranbrook/Canadian Rockies International Airport,49.610,-115.781
Edmonton City Centre (Blatchford Field) Airport,53.572,-113.521
Saskatoon John G. Diefenbaker International Airport,52.170,-106.699
Medicine Hat Airport,50.018,-110.721
Fort St John Airport,56.238,-120.739
Sioux Lookout Airport,50.113,-91.905
Pangnirtung Airport,66.144,-65.713
Earlton (Timiskaming Regional) Airport,47.697,-79.847
Prince George Airport,53.889,-122.679
Northwest Regional Airport Terrace-Kitimat,54.468,-128.576
London Airport,43.035,-81.153
Abbotsford Airport,49.025,-122.361
Whitehorse / Erik Nielsen International Airport,60.709,-135.067
North Bay Jack Garland Airport,46.363,-79.422
Calgary International Airport,51.113,-114.019
Smithers Airport,54.824,-127.182
Fort Nelson Airport,58.836,-122.597
Penticton Airport,49.463,-119.601
Charlottetown Airport,46.290,-63.121
Taloyoak Airport,69.546,-93.576
Victoria International Airport,48.646,-123.426
Lynn Lake Airport,56.863,-101.075
Swift Current Airport,50.291,-107.691
Churchill Airport,58.739,-94.065
Goose Bay Airport,53.319,-60.425
St. John's International Airport,47.618,-52.751
Kapuskasing Airport,49.413,-82.467
Armstrong Airport,50.290,-88.909
Mont Joli Airport,48.608,-68.208
Lester B. Pearson International Airport,43.677,-79.630
Downsview Airport,43.742,-79.465
Gore Bay Manitoulin Airport,45.885,-82.567
Yellowknife Airport,62.462,-114.440
